"X","B","Y","U2"
18,12,16,2
17,15.5,17.75,6
20,16,22,5
4,14,13,11
12,13,15.5,6
17,18.5,14.25,9
20,13,19.5,2
18,24,23,14
13,20.5,23.25,13
6,5,17.5,1
19,23.5,16.75,13
18,21,24.5,11
19,15.5,16.75,5
25,27.5,26.75,14
15,16.5,18.25,8
11,15.5,10.75,9
12,16,19,9
16,16,18,7
5,5.5,12.75,2
15,10.5,9.25,2
11,8.5,12.25,2
15,11.5,10.75,3
16,13,8.5,4
7,14.5,9.25,10
21,14.5,20.25,3
23,27.5,26.75,15
11,13.5,9.75,7
12,21,16.5,14
16,16,19,7
12,15,13.5,8
11,20.5,20.25,14
7,17.5,9.75,13
12,9,11.5,2
9,19.5,23.75,14
10,13,20.5,7
17,16.5,13.25,7
17,20.5,13.25,11
8,15,18.5,10
10,9,19.5,3
29,22.5,25.25,7
10,21,15.5,15
15,14.5,18.25,6
8,12,16,7
16,12,9,3
23,26.5,16.25,14
10,19,23.5,13
27,27.5,26.75,13
25,21.5,19.75,8
20,22,25,11
18,12,14,2
20,19,11.5,8
13,12.5,7.25,5
4,5,7.5,2
19,14.5,14.25,4
6,8,12,4
18,23,21.5,13
17,24.5,17.25,15
22,27,28.5,15
10,18,21,12
26,26,22,12
8,16,13,11
20,14,8,3
25,19.5,10.75,6
18,16,12,6
24,25,20.5,12
19,17.5,17.75,7
6,8,13,4
15,22.5,21.25,14
13,15.5,13.75,8
14,13,19.5,5
18,13,14.5,3
23,27.5,17.75,15
16,21,20.5,12
25,27.5,28.75,14
26,21,21.5,7
22,26,28,14
18,23,13.5,13
15,19.5,10.75,11
15,22.5,20.25,14
8,9,19.5,4
12,13,11.5,6
18,13,21.5,3
17,15.5,8.75,6
27,20.5,18.25,6
16,20,19,11
17,16.5,19.25,7
18,25,24.5,15
22,14,15,2
15,9.5,14.75,1
9,15.5,22.75,10
3,16.5,22.25,14
16,23,17.5,14
7,17.5,16.75,13
18,17,20.5,7
18,13,8.5,3
5,17.5,20.75,14
25,18.5,13.25,5
12,10,11,3
12,20,23,13
15,20.5,20.25,12
29,21.5,11.75,6
10,7,6.5,1
19,12.5,17.25,2
15,11.5,11.75,3
6,18,24,14
17,23.5,19.75,14
12,22,19,15
19,24.5,25.25,14
24,20,19,7
11,16.5,14.25,10
9,15.5,13.75,10
22,15,12.5,3
22,15,15.5,3
21,21.5,20.75,10
12,15,10.5,8
14,19,20.5,11
10,21,15.5,15
21,12.5,8.25,1
27,24.5,24.25,10
11,15.5,14.75,9
20,22,15,11
12,18,20,11
20,15,11.5,4
10,16,21,10
12,9,13.5,2
14,14,14,6
8,12,13,7
14,14,9,6
17,19.5,18.75,10
17,16.5,10.25,7
15,23.5,22.75,15
12,22,17,15
11,11.5,8.75,5
11,19.5,16.75,13
20,13,11.5,2
18,24,27,14
15,15.5,9.75,7
14,17,18.5,9
10,8,18,2
22,26,16,14
16,17,17.5,8
17,12.5,7.25,3
23,25.5,24.75,13
18,24,16,14
15,21.5,17.75,13
11,9.5,8.75,3
28,22,12,7
23,13.5,10.75,1
17,18.5,24.25,9
16,24,27,15
10,7,6.5,1
22,17,23.5,5
29,28.5,25.25,13
21,20.5,12.25,9
15,23.5,17.75,15
23,22.5,20.25,10
17,21.5,15.75,12
13,17.5,13.75,10
23,19.5,16.75,7
13,16.5,20.25,9
13,20.5,20.25,13
11,12.5,18.25,6
17,14.5,22.25,5
14,17,18.5,9
12,18,24,11
12,9,19.5,2
13,22.5,13.25,15
16,21,24.5,12
18,14,17,4
23,18.5,19.25,6
15,20.5,15.25,12
16,19,11.5,10
19,19.5,24.75,9
2,13,20.5,11
18,22,22,12
27,24.5,15.25,10
7,14.5,20.25,10
6,14,8,10
9,17.5,9.75,12
24,15,15.5,2
16,22,15,13
12,13,21.5,6
16,23,22.5,14
13,13.5,8.75,6
26,22,22,8
12,14,14,7
26,29,17.5,15
23,15.5,9.75,3
18,13,20.5,3
13,18.5,13.25,11
17,24.5,20.25,15
16,19,21.5,10
27,16.5,14.25,2
11,9.5,10.75,3
26,25,13.5,11
13,20.5,18.25,13
20,18,20,7
20,12,14,1
20,20,17,9
16,24,27,15
14,20,12,12
22,18,16,6
17,20.5,17.25,11
17,16.5,16.25,7
13,14.5,17.25,7
21,26.5,14.25,15
5,17.5,10.75,14
6,5,7.5,1
26,17,16.5,3
13,8.5,9.25,1
24,25,26.5,12
17,15.5,16.75,6
15,10.5,12.25,2
12,19,24.5,12
19,19.5,10.75,9
10,15,10.5,9
14,17,15.5,9
12,12,13,5
18,13,15.5,3
24,14,21,1
10,17,21.5,11
14,13,17.5,5
10,16,21,10
16,18,18,9
18,17,23.5,7
19,17.5,18.75,7
13,12.5,13.25,5
17,16.5,14.25,7
12,19,20.5,12
18,21,14.5,11
4,9,14.5,6
21,23.5,13.75,12
17,14.5,8.25,5
10,10,13,4
27,29.5,17.75,15
14,21,22.5,13
28,28,27,13
13,13.5,18.75,6
20,15,11.5,4
27,29.5,23.75,15
14,10,13,2
24,24,13,11
15,12.5,15.25,4
8,18,22,13
27,24.5,15.25,10
24,17,17.5,4
28,24,27,9
20,14,16,3
24,22,21,9
19,13.5,16.75,3
18,23,13.5,13
17,24.5,20.25,15
13,10.5,20.25,3
19,15.5,16.75,5
16,23,24.5,14
10,9,10.5,3
8,9,14.5,4
25,15.5,11.75,2
22,27,14.5,15
10,11,13.5,5
30,23,12.5,7
20,21,17.5,10
8,16,20,11
7,8.5,5.25,4
8,9,10.5,4
22,18,17,6
6,18,24,14
20,13,16.5,2
15,10.5,10.25,2
17,10.5,14.25,1
15,14.5,13.25,6
16,22,16,13
5,9.5,16.75,6
26,25,25.5,11
11,16.5,16.25,10
16,15,13.5,6
20,19,13.5,8
6,15,19.5,11
8,13,16.5,8
5,12.5,17.25,9
26,20,25,6
15,16.5,20.25,8
16,10,13,1
13,22.5,17.25,15
15,16.5,11.25,8
11,14.5,10.25,8
17,10.5,10.25,1
19,11.5,16.75,1
14,18,13,10
17,22.5,16.25,13
17,23.5,24.75,14
10,20,15,14
19,23.5,17.75,13
23,15.5,21.75,3
16,13,12.5,4
15,11.5,17.75,3
9,6.5,8.25,1
2,14,17,12
20,15,21.5,4
15,14.5,12.25,6
13,22.5,24.25,15
5,13.5,13.75,10
19,14.5,18.25,4
10,7,6.5,1
18,16,13,6
7,16.5,15.25,12
20,15,19.5,4
18,24,14,14
26,23,16.5,9
21,23.5,22.75,12
14,16,13,8
14,18,19,10
13,9.5,18.75,2
16,15,9.5,6
20,23,21.5,12
20,18,11,7
16,13,12.5,4
21,26.5,15.25,15
12,15,11.5,8
17,13.5,13.75,4
17,23.5,23.75,14
17,24.5,23.25,15
15,10.5,7.25,2
18,14,16,4
11,20.5,15.25,14
17,14.5,20.25,5
30,17,10.5,1
14,16,20,8
24,24,27,11
11,11.5,6.75,5
13,9.5,11.75,2
21,26.5,14.25,15
9,19.5,19.75,14
12,10,6,3
13,11.5,10.75,4
11,12.5,8.25,6
4,9,14.5,6
14,17,10.5,9
17,21.5,11.75,12
7,16.5,22.25,12
22,19,17.5,7
15,16.5,9.25,8
16,13,18.5,4
20,24,19,13
28,20,12,5
23,17.5,19.75,5
12,17,13.5,10
20,15,16.5,4
7,18.5,22.25,14
22,14,9,2
17,17.5,13.75,8
6,8,14,4
6,18,17,14
9,9.5,11.75,4
18,14,8,4
15,16.5,12.25,8
18,17,23.5,7
2,14,16,12
6,8,6,4
27,20.5,17.25,6
16,20,22,11
20,21,19.5,10
16,10,16,1
8,13,15.5,8
11,14.5,8.25,8
23,14.5,21.25,2
16,23,14.5,14
22,25,26.5,13
18,20,19,10
19,15.5,20.75,5
23,18.5,11.25,6
10,9,6.5,3
11,7.5,9.75,1
26,20,24,6
14,13,16.5,5
15,10.5,16.25,2
6,18,10,14
26,19,11.5,5
13,22.5,13.25,15
10,8,18,2
14,10,18,2
17,19.5,20.75,10
15,21.5,11.75,13
12,17,11.5,10
23,14.5,18.25,2
4,13,21.5,10
16,15,19.5,6
16,13,14.5,4
17,22.5,16.25,13
16,12,17,3
16,20,24,11
11,20.5,22.25,14
9,20.5,19.25,15
9,13.5,11.75,8
12,8,7,1
16,20,14,11
11,17.5,20.75,11
22,16,16,4
5,6.5,5.25,3
22,16,16,4
7,7.5,10.75,3
21,20.5,21.25,9
10,11,15.5,5
22,19,17.5,7
9,16.5,14.25,11
11,20.5,14.25,14
16,24,24,15
30,22,22,6
20,14,21,3
8,7,7.5,2
14,15,12.5,7
19,22.5,22.25,12
16,13,21.5,4
9,16.5,11.25,11
12,22,13,15
19,22.5,22.25,12
25,21.5,15.75,8
11,12.5,18.25,6
29,22.5,25.25,7
14,17,15.5,9
6,10,20,6
3,14.5,14.25,12
15,17.5,18.75,9
13,10.5,12.25,3
26,29,25.5,15
17,22.5,23.25,13
30,21,25.5,5
7,15.5,12.75,11
26,16,21,2
14,9,15.5,1
21,12.5,12.25,1
25,14.5,22.25,1
14,16,17,8
22,18,22,6
15,11.5,10.75,3
25,23.5,26.75,10
23,23.5,20.75,11
14,19,21.5,11
11,12.5,12.25,6
20,12,7,1
13,22.5,23.25,15
26,16,23,2
20,25,25.5,14
14,21,12.5,13
23,19.5,15.75,7
6,8,14,4
13,16.5,18.25,9
25,18.5,14.25,5
10,9,10.5,3
22,27,23.5,15
16,14,11,5
14,22,21,14
11,21.5,22.75,15
20,25,24.5,14
23,14.5,12.25,2
22,24,14,12
26,25,25.5,11
19,24.5,18.25,14
19,25.5,26.75,15
6,11,13.5,7
19,18.5,24.25,8
2,5,3.5,3
22,18,14,6
6,9,11.5,5
14,21,23.5,13
23,19.5,17.75,7
9,19.5,21.75,14
3,10.5,9.25,8
19,19.5,21.75,9
11,15.5,20.75,9
13,21.5,16.75,14
19,15.5,22.75,5
7,14.5,9.25,10
11,19.5,14.75,13
22,15,13.5,3
15,17.5,10.75,9
17,22.5,25.25,13
10,11,14.5,5
11,15.5,21.75,9
13,18.5,15.25,11
15,10.5,14.25,2
17,21.5,11.75,12
14,22,20,14
11,13.5,9.75,7
25,23.5,21.75,10
10,18,16,12
14,12,10,4
15,15.5,11.75,7
22,15,12.5,3
23,22.5,26.25,10
12,18,18,11
15,13.5,7.75,5
23,22.5,18.25,10
21,24.5,21.25,13
10,13,17.5,7
21,16.5,11.25,5
12,16,15,9
12,20,20,13
18,23,18.5,13
7,14.5,16.25,10
21,18.5,10.25,7
19,24.5,19.25,14
8,10,9,5
14,11,9.5,3
18,16,14,6
16,14,17,5
17,18.5,17.25,9
22,15,16.5,3
9,6.5,10.25,1
10,10,10,4
15,14.5,16.25,6
15,13.5,18.75,5
18,19,24.5,9
19,19.5,19.75,9
24,17,21.5,4
18,24,26,14
8,11,11.5,6
5,15.5,12.75,12
17,13.5,13.75,4
6,12,13,8
19,11.5,13.75,1
15,14.5,17.25,6
19,24.5,27.25,14
21,16.5,13.25,5
10,17,17.5,11
30,23,23.5,7
17,20.5,16.25,11
19,17.5,21.75,7
15,11.5,13.75,3
17,14.5,11.25,5
9,7.5,5.75,2
16,20,24,11
20,12,18,1
18,17,18.5,7
17,23.5,14.75,14
8,19,10.5,14
9,9.5,7.75,4
22,27,26.5,15
13,22.5,21.25,15
7,15.5,10.75,11
29,27.5,16.75,12
17,15.5,17.75,6
23,21.5,20.75,9
7,13.5,7.75,9
22,27,23.5,15
23,19.5,23.75,7
21,24.5,24.25,13
19,16.5,17.25,6
16,23,18.5,14
18,24,15,14
19,20.5,14.25,10
20,26,28,15
12,9,14.5,2
12,19,21.5,12
21,19.5,15.75,8
13,9.5,12.75,2
22,24,22,12
9,14.5,22.25,9
10,11,8.5,5
11,18.5,16.25,12
17,12.5,9.25,3
19,20.5,12.25,10
20,16,16,5
17,21.5,11.75,12
14,20,13,12
30,31,23.5,15
23,18.5,21.25,6
19,24.5,15.25,14
19,14.5,8.25,4
17,13.5,12.75,4
13,20.5,20.25,13
17,14.5,13.25,5
20,12,18,1
21,18.5,14.25,7
15,15.5,18.75,7
9,13.5,8.75,8
25,28.5,26.25,15
29,16.5,21.25,1
30,23,24.5,7
13,13.5,13.75,6
27,29.5,28.75,15
12,20,11,13
17,12.5,13.25,3
8,10,6,5
6,5,13.5,1
13,11.5,20.75,4
22,26,22,14
6,14,22,10
8,6,11,1
14,16,12,8
16,12,8,3
5,16.5,15.25,13
17,10.5,6.25,1
9,12.5,21.25,7
7,16.5,23.25,12
17,20.5,13.25,11
11,12.5,14.25,6
18,20,22,10
12,10,15,3
22,14,18,2
17,20.5,24.25,11
20,12,18,1
9,19.5,16.75,14
3,9.5,14.75,7
13,18.5,22.25,11
7,11.5,19.75,7
18,23,17.5,13
10,13,10.5,7
8,16,10,11
20,17,9.5,6
12,19,21.5,12
17,20.5,22.25,11
22,14,20,2
14,19,17.5,11
17,15.5,19.75,6
6,12,21,8
29,16.5,21.25,1
5,12.5,17.25,9
10,15,18.5,9
17,11.5,20.75,2
8,10,8,5
16,15,11.5,6
18,20,22,10
17,19.5,20.75,10
20,17,9.5,6
17,14.5,14.25,5
24,17,19.5,4
23,20.5,12.25,8
19,16.5,22.25,6
21,12.5,11.25,1
24,23,24.5,10
4,7,7.5,4
16,20,17,11
11,11.5,15.75,5
15,18.5,10.25,10
13,14.5,22.25,7
28,25,26.5,10
18,13,20.5,3
18,20,19,10
15,16.5,13.25,8
18,12,9,2
15,20.5,22.25,12
20,26,19,15
24,16,19,3
8,12,10,7
17,14.5,9.25,5
14,20,11,12
22,25,27.5,13
12,13,21.5,6
22,26,23,14
8,13,18.5,8
20,26,21,15
13,17.5,18.75,10
18,13,14.5,3
16,11,19.5,2
17,16.5,9.25,7
9,15.5,16.75,10
11,15.5,22.75,9
13,17.5,10.75,10
11,9.5,18.75,3
18,21,18.5,11
27,18.5,12.25,4
15,13.5,10.75,5
8,14,19,9
11,20.5,24.25,14
21,26.5,18.25,15
22,24,22,12
12,13,10.5,6
15,23.5,26.75,15
15,9.5,5.75,1
18,20,23,10
19,23.5,17.75,13
13,11.5,18.75,4
12,14,20,7
8,12,14,7
13,19.5,10.75,12
25,26.5,23.25,13
17,12.5,21.25,3
14,13,15.5,5
15,10.5,18.25,2
14,21,25.5,13
12,12,15,5
18,21,19.5,11
17,23.5,24.75,14
19,14.5,12.25,4
4,14,12,11
14,17,21.5,9
12,19,12.5,12
12,10,11,3
16,16,12,7
27,20.5,25.25,6
15,12.5,17.25,4
20,16,18,5
15,20.5,17.25,12
21,26.5,18.25,15
16,12,12,3
21,24.5,16.25,13
14,19,18.5,11
3,6.5,15.25,4
21,13.5,18.75,2
15,20.5,15.25,12
11,14.5,19.25,8
13,17.5,19.75,10
27,23.5,12.75,9
17,23.5,25.75,14
18,19,23.5,9
16,18,13,9
19,17.5,12.75,7
18,23,18.5,13
21,23.5,26.75,12
7,15.5,22.75,11
28,21,19.5,6
17,13.5,20.75,4
15,19.5,15.75,11
10,16,17,10
19,15.5,19.75,5
16,19,11.5,10
21,15.5,11.75,4
12,18,17,11
26,29,28.5,15
17,21.5,17.75,12
19,16.5,23.25,6
18,22,17,12
17,12.5,12.25,3
16,21,21.5,12
4,12,19,9
20,15,10.5,4
30,20,22,4
16,20,15,11
3,6.5,15.25,4
8,9,12.5,4
6,11,8.5,7
22,26,15,14
7,14.5,11.25,10
23,18.5,21.25,6
15,18.5,24.25,10
14,22,17,14
5,4.5,14.25,1
18,22,23,12
14,13,15.5,5
11,16.5,15.25,10
17,12.5,15.25,3
13,10.5,13.25,3
22,18,22,6
28,21,12.5,6
18,21,16.5,11
4,11,7.5,8
13,17.5,9.75,10
16,12,21,3
13,15.5,8.75,8
15,21.5,20.75,13
28,24,24,9
21,22.5,18.25,11
13,14.5,14.25,7
21,15.5,22.75,4
12,16,23,9
28,23,18.5,8
16,24,27,15
18,14,17,4
17,19.5,22.75,10
10,14,12,8
19,13.5,15.75,3
25,14.5,10.25,1
14,18,16,10
13,15.5,8.75,8
11,16.5,20.25,10
22,26,15,14
19,16.5,16.25,6
25,20.5,14.25,7
5,12.5,16.25,9
16,17,19.5,8
25,19.5,16.75,6
24,27,24.5,14
23,14.5,11.25,2
11,15.5,16.75,9
8,13,14.5,8
18,15,18.5,5
16,22,20,13
19,23.5,20.75,13
12,8,12,1
12,20,22,13
16,13,12.5,4
12,14,11,7
15,12.5,12.25,4
16,12,18,3
19,25.5,18.75,15
15,17.5,22.75,9
16,19,12.5,10
29,23.5,19.75,8
10,13,19.5,7
25,23.5,13.75,10
10,9,9.5,3
19,16.5,11.25,6
16,17,9.5,8
26,15,21.5,1
14,23,23.5,15
16,13,20.5,4
25,16.5,18.25,3
9,10.5,9.25,5
18,21,20.5,11
10,16,19,10
14,18,22,10
15,9.5,13.75,1
19,22.5,22.25,12
14,15,12.5,7
14,20,12,12
8,14,16,9
28,19,14.5,4
17,20.5,20.25,11
7,14.5,13.25,10
12,13,11.5,6
30,27,25.5,11
9,19.5,21.75,14
4,6,9,3
11,11.5,18.75,5
21,24.5,27.25,13
23,24.5,14.25,12
5,9.5,13.75,6
9,17.5,21.75,12
14,17,22.5,9
15,13.5,7.75,5
12,14,19,7
16,17,9.5,8
12,10,15,3
10,19,18.5,13
16,24,20,15
13,13.5,17.75,6
23,14.5,11.25,2
19,23.5,24.75,13
18,19,22.5,9
14,16,10,8
18,23,12.5,13
22,21,14.5,9
14,15,20.5,7
23,25.5,26.75,13
21,12.5,13.25,1
17,13.5,19.75,4
22,15,11.5,3
27,21.5,25.75,7
16,21,11.5,12
13,20.5,19.25,13
13,16.5,20.25,9
8,19,17.5,14
17,13.5,20.75,4
19,21.5,12.75,11
13,17.5,17.75,10
14,21,16.5,13
21,21.5,24.75,10
8,18,22,13
22,18,15,6
17,18.5,15.25,9
8,16,13,11
5,13.5,12.75,10
4,7,17.5,4
15,11.5,19.75,3
9,6.5,6.25,1
15,11.5,19.75,3
5,12.5,15.25,9
4,15,11.5,12
6,9,19.5,5
20,16,9,5
13,22.5,16.25,15
12,19,16.5,12
23,23.5,16.75,11
21,15.5,22.75,4
25,23.5,25.75,10
11,14.5,9.25,8
15,12.5,9.25,4
16,22,21,13
23,13.5,8.75,1
20,25,14.5,14
17,20.5,13.25,11
12,19,20.5,12
6,13,14.5,9
8,19,18.5,14
9,11.5,15.75,6
22,22,20,10
22,21,21.5,9
18,21,12.5,11
12,18,14,11
19,14.5,19.25,4
21,16.5,17.25,5
26,25,16.5,11
22,26,20,14
23,26.5,27.25,14
19,21.5,24.75,11
16,19,23.5,10
17,13.5,9.75,4
11,16.5,21.25,10
15,21.5,25.75,13
11,16.5,13.25,10
20,26,23,15
10,8,19,2
22,25,20.5,13
23,22.5,19.25,10
22,19,17.5,7
9,10.5,17.25,5
18,14,22,4
17,11.5,6.75,2
29,22.5,21.25,7
18,19,18.5,9
17,23.5,16.75,14
12,20,18,13
6,7,9.5,3
24,14,9,1
15,18.5,17.25,10
5,17.5,20.75,14
25,17.5,23.75,4
25,22.5,25.25,9
22,25,23.5,13
3,16.5,14.25,14
19,20.5,22.25,10
22,23,21.5,11
18,22,12,12
18,16,20,6
27,23.5,12.75,9
17,24.5,14.25,15
14,21,16.5,13
17,24.5,22.25,15
19,21.5,16.75,11
20,13,12.5,2
20,12,19,1
25,17.5,16.75,4
5,6.5,15.25,3
17,23.5,21.75,14
13,20.5,12.25,13
12,8,16,1
6,9,13.5,5
24,15,14.5,2
24,14,10,1
7,11.5,19.75,7
10,11,7.5,5
9,17.5,10.75,12
9,7.5,5.75,2
20,24,23,13
20,26,27,15
4,16,19,13
25,20.5,11.25,7
18,17,11.5,7
14,14,15,6
16,23,15.5,14
14,22,17,14
17,24.5,26.25,15
13,19.5,24.75,12
27,21.5,12.75,7
18,18,17,8
15,11.5,19.75,3
18,16,13,6
17,21.5,17.75,12
25,28.5,19.25,15
21,12.5,15.25,1
15,14.5,21.25,6
30,26,22,10
19,23.5,13.75,13
22,23,24.5,11
24,28,21,15
19,15.5,11.75,5
16,13,12.5,4
17,20.5,17.25,11
30,24,25,8
18,25,14.5,15
22,17,15.5,5
9,7.5,14.75,2
22,18,24,6
22,26,18,14
16,19,13.5,10
9,8.5,17.25,3
16,22,24,13
7,10.5,13.25,6
15,13.5,18.75,5
23,20.5,15.25,8
17,13.5,17.75,4
22,15,9.5,3
17,15.5,20.75,6
2,4,3,2
23,24.5,24.25,12
14,17,10.5,9
22,24,25,12
10,16,12,10
13,20.5,24.25,13
24,28,29,15
27,23.5,25.75,9
13,9.5,10.75,2
21,24.5,20.25,13
7,6.5,7.25,2
9,13.5,7.75,8
16,18,11,9
24,16,14,3
13,9.5,13.75,2
16,10,11,1
17,16.5,16.25,7
22,15,21.5,3
12,14,17,7
19,11.5,19.75,1
15,16.5,14.25,8
13,10.5,10.25,3
8,19,15.5,14
13,14.5,20.25,7
17,15.5,13.75,6
21,25.5,19.75,14
16,24,20,15
6,10,10,6
15,9.5,17.75,1
17,21.5,25.75,12
7,9.5,13.75,5
25,26.5,23.25,13
22,23,22.5,11
21,17.5,17.75,6
18,17,15.5,7
19,21.5,24.75,11
13,17.5,11.75,10
17,16.5,19.25,7
19,12.5,17.25,2
18,11,16.5,1
16,22,23,13
21,16.5,21.25,5
9,11.5,12.75,6
12,15,8.5,8
12,12,13,5
8,19,22.5,14
15,20.5,14.25,12
18,25,23.5,15
4,13,8.5,10
11,7.5,6.75,1
15,19.5,11.75,11
14,20,25,12
23,16.5,11.25,4
15,16.5,12.25,8
21,23.5,22.75,12
14,9,12.5,1
9,9.5,19.75,4
6,19,23.5,15
22,27,19.5,15
25,23.5,16.75,10
20,14,10,3
6,19,19.5,15
22,19,11.5,7
20,23,23.5,12
9,13.5,13.75,8
24,19,16.5,6
13,19.5,18.75,12
15,11.5,14.75,3
9,14.5,10.25,9
19,12.5,18.25,2
15,12.5,21.25,4
11,18.5,17.25,12
11,17.5,20.75,11
7,11.5,19.75,7
26,15,8.5,1
16,11,17.5,2
14,18,14,10
14,10,17,2
9,19.5,20.75,14
5,4.5,5.25,1
12,21,19.5,14
14,12,20,4
17,21.5,24.75,12
13,17.5,20.75,10
5,4.5,12.25,1
13,14.5,13.25,7
16,14,21,5
6,17,10.5,13
13,15.5,19.75,8
17,13.5,18.75,4
20,17,18.5,6
13,20.5,12.25,13
20,13,7.5,2
4,18,16,15
19,18.5,19.25,8
13,20.5,14.25,13
11,9.5,9.75,3
16,15,17.5,6
22,26,18,14
8,19,24.5,14
16,23,18.5,14
21,21.5,13.75,10
24,16,20,3
19,21.5,16.75,11
25,17.5,18.75,4
8,13,9.5,8
11,10.5,12.25,4
22,21,15.5,9
15,10.5,9.25,2
26,29,24.5,15
25,22.5,16.25,9
9,18.5,14.25,13
6,5,6.5,1
21,18.5,22.25,7
16,16,10,7
9,18.5,13.25,13
6,13,17.5,9
5,5.5,12.75,2
17,17.5,9.75,8
17,24.5,23.25,15
23,13.5,16.75,1
25,17.5,19.75,4
22,17,20.5,5
26,16,21,2
22,25,24.5,13
18,16,20,6
13,21.5,17.75,14
16,23,24.5,14
20,12,7,1
21,26.5,27.25,15
16,15,9.5,6
21,22.5,20.25,11
6,19,10.5,15
17,18.5,17.25,9
20,15,10.5,4
20,19,24.5,8
8,8,7,3
17,21.5,25.75,12
10,13,18.5,7
8,9,6.5,4
9,9.5,18.75,4
18,13,14.5,3
19,18.5,16.25,8
19,23.5,24.75,13
29,24.5,15.25,9
11,17.5,14.75,11
16,15,13.5,6
19,14.5,19.25,4
10,14,12,8
17,16.5,9.25,7
16,22,15,13
22,13,15.5,1
25,15.5,15.75,2
19,17.5,22.75,7
16,24,20,15
25,17.5,11.75,4
13,20.5,15.25,13
4,12,19,9
9,13.5,16.75,8
11,20.5,17.25,14
15,15.5,16.75,7
9,10.5,9.25,5
22,15,15.5,3
16,20,18,11
11,21.5,23.75,15
21,26.5,16.25,15
12,21,25.5,14
16,16,20,7
16,14,12,5
20,25,27.5,14
12,15,11.5,8
20,25,25.5,14
4,13,15.5,10
10,9,12.5,3
8,6,15,1
10,7,10.5,1
19,23.5,16.75,13
18,11,13.5,1
26,21,20.5,7
26,22,20,8
27,15.5,21.75,1
26,22,15,8
19,18.5,21.25,8
20,15,11.5,4
22,13,15.5,1
8,19,23.5,14
15,12.5,8.25,4
16,22,25,13
26,22,24,8
11,7.5,11.75,1
25,15.5,12.75,2
11,16.5,13.25,10
14,19,22.5,11
17,13.5,11.75,4
11,21.5,18.75,15
3,15.5,20.75,13
22,24,16,12
17,17.5,17.75,8
21,25.5,16.75,14
19,15.5,20.75,5
10,11,7.5,5
27,27.5,24.75,13
10,15,17.5,9
8,10,19,5
5,9.5,14.75,6
28,21,21.5,6
18,25,14.5,15
11,20.5,12.25,14
17,18.5,15.25,9
13,17.5,23.75,10
18,16,10,6
23,23.5,14.75,11
16,21,18.5,12
15,16.5,22.25,8
21,21.5,12.75,10
14,19,21.5,11
13,16.5,16.25,9
7,17.5,18.75,13
8,19,23.5,14
28,29,17.5,14
11,8.5,8.25,2
4,15,12.5,12
15,14.5,16.25,6
16,18,22,9
13,8.5,16.25,1
14,14,19,6
19,24.5,13.25,14
14,15,10.5,7
22,25,25.5,13
21,12.5,17.25,1
2,14,14,12
15,10.5,9.25,2
20,25,13.5,14
7,12.5,11.25,8
18,20,23,10
11,15.5,15.75,9
21,14.5,10.25,3
12,20,19,13
15,15.5,9.75,7
8,8,14,3
29,24.5,25.25,9
22,19,21.5,7
11,9.5,10.75,3
4,13,14.5,10
25,27.5,22.75,14
7,18.5,20.25,14
25,22.5,17.25,9
17,18.5,12.25,9
17,12.5,8.25,3
22,18,15,6
11,12.5,14.25,6
28,18,10,3
17,12.5,18.25,3
17,13.5,12.75,4
7,5.5,9.75,1
15,22.5,23.25,14
9,18.5,11.25,13
25,26.5,22.25,13
27,21.5,19.75,7
13,21.5,15.75,14
15,23.5,25.75,15
7,6.5,15.25,2
29,19.5,23.75,4
20,16,19,5
9,15.5,8.75,10
13,9.5,7.75,2
15,22.5,15.25,14
15,18.5,23.25,10
24,14,21,1
24,15,9.5,2
24,19,14.5,6
11,12.5,18.25,6
9,19.5,15.75,14
15,17.5,12.75,9
3,15.5,13.75,13
12,21,11.5,14
24,15,15.5,2
30,26,20,10
12,10,16,3
24,23,13.5,10
5,10.5,9.25,7
25,25.5,17.75,12
23,15.5,17.75,3
17,20.5,15.25,11
25,21.5,17.75,8
14,21,11.5,13
9,13.5,17.75,8
22,20,19,8
13,11.5,19.75,4
21,21.5,12.75,10
11,14.5,21.25,8
23,22.5,17.25,10
13,19.5,10.75,12
29,20.5,25.25,5
13,21.5,24.75,14
14,14,13,6
27,25.5,24.75,11
16,24,17,15
18,23,14.5,13
17,10.5,20.25,1
12,16,19,9
24,20,17,7
25,20.5,15.25,7
10,14,13,8
11,17.5,22.75,11
19,14.5,18.25,4
22,13,15.5,1
7,8.5,15.25,4
7,13.5,7.75,9
10,19,15.5,13
26,21,18.5,7
8,14,20,9
24,25,13.5,12
7,18.5,14.25,14
20,12,12,1
6,11,18.5,7
25,21.5,23.75,8
10,17,14.5,11
12,10,20,3
12,17,16.5,10
12,20,24,13
18,25,25.5,15
17,21.5,16.75,12
14,16,18,8
16,12,19,3
21,25.5,25.75,14
17,14.5,12.25,5
12,20,12,13
21,14.5,10.25,3
16,10,9,1
14,21,22.5,13
16,20,15,11
10,18,14,12
17,18.5,11.25,9
6,12,20,8
26,16,16,2
24,28,18,15
19,25.5,15.75,15
7,16.5,23.25,12
14,13,14.5,5
12,21,17.5,14
13,15.5,20.75,8
16,14,20,5
15,15.5,15.75,7
15,16.5,21.25,8
21,20.5,14.25,9
23,25.5,26.75,13
20,16,20,5
15,9.5,12.75,1
18,14,22,4
17,18.5,15.25,9
23,22.5,25.25,10
11,19.5,15.75,13
